source,id,name,rawName,type,latitude,longitude,areaSqm,areaLabel,areaCategory,address,region,coordinateLabel,updatedAt,originalId,osmId,osmName,matchedType
osm_unnamed,osm-way-1204442775,"Unnamed playground at 1.35629, 103.73765",,Unnamed playground,1.3562926,103.7376485,169.36169655204955,169 sqm,Pocket,,West,"1.356293, 103.737649",,,osm-way-1204442775,"Unnamed playground at 1.35629, 103.73765",unnamed
osm_unnamed,osm-way-1204442776,"Unnamed playground at 1.35679, 103.73807",,Unnamed playground,1.3567930400000001,103.73807184,138.1098872557711,138 sqm,Pocket,,West,"1.356793, 103.738072",,,osm-way-1204442776,"Unnamed playground at 1.35679, 103.73807",unnamed
osm_unnamed,osm-way-1204442782,"Unnamed playground at 1.35543, 103.73736",,Unnamed playground,1.3554281,103.73735686,118.3751837511564,118 sqm,Pocket,,West,"1.355428, 103.737357",,,osm-way-1204442782,"Unnamed playground at 1.35543, 103.73736",unnamed
osm_unnamed,osm-way-1204491965,"Unnamed playground at 1.41695, 103.91062",,Unnamed playground,1.416949717647059,103.91061558235293,257.2137528476357,257 sqm,Pocket,,North,"1.416950, 103.910616",,,osm-way-1204491965,"Unnamed playground at 1.41695, 103.91062",unnamed
osm_unnamed,osm-way-1204491966,"Unnamed playground at 1.41706, 103.91023",,Unnamed playground,1.417059047368421,103.91022864736843,120.34726016226759,120 sqm,Pocket,,North,"1.417059, 103.910229",,,osm-way-1204491966,"Unnamed playground at 1.41706, 103.91023",unnamed
osm_unnamed,osm-way-1204683743,"Unnamed playground at 1.36170, 103.72905",,Unnamed playground,1.36170465,103.72905493333333,226.89030118348725,227 sqm,Pocket,,West,"1.361705, 103.729055",,,osm-way-1204683743,"Unnamed playground at 1.36170, 103.72905",unnamed
osm_unnamed,osm-way-1204683744,"Unnamed playground at 1.36163, 103.72931",,Unnamed playground,1.3616325249999999,103.7293074375,302.0097836981907,302 sqm,Pocket,,West,"1.361633, 103.729307",,,osm-way-1204683744,"Unnamed playground at 1.36163, 103.72931",unnamed
osm_unnamed,osm-way-1204683745,"Unnamed playground at 1.36058, 103.72878",,Unnamed playground,1.36058222,103.72877734,230.3613956024617,230 sqm,Pocket,,West,"1.360582, 103.728777",,,osm-way-1204683745,"Unnamed playground at 1.36058, 103.72878",unnamed
osm_unnamed,osm-way-1204683749,"Unnamed playground at 1.36081, 103.72964",,Unnamed playground,1.36080524,103.72964185000001,178.23264915564638,178 sqm,Pocket,,West,"1.360805, 103.729642",,,osm-way-1204683749,"Unnamed playground at 1.36081, 103.72964",unnamed
osm_unnamed,osm-way-1204704955,"Unnamed playground at 1.35895, 103.73101",,Unnamed playground,1.3589488866666666,103.73100880666668,429.3800036897985,429 sqm,Pocket,,West,"1.358949, 103.731009",,,osm-way-1204704955,"Unnamed playground at 1.35895, 103.73101",unnamed
osm_unnamed,osm-way-1204704956,"Unnamed playground at 1.35955, 103.73044",,Unnamed playground,1.3595535142857145,103.73043524285715,56.21884220791535,56 sqm,Pocket,,West,"1.359554, 103.730435",,,osm-way-1204704956,"Unnamed playground at 1.35955, 103.73044",unnamed
